file_id	dataset	tech_reps	bio_reps	download_url	target_label	biosample_short_name	mod_or_treament	lab	biosample_summary	description	biosample_accession	biosample_ontology_id	biosample_treatments	biosample_applied_mods	biosample_genetic_mods	linecount
/files/ENCFF789AXP/	/experiments/ENCSR750LYM/	1_1,2_1	1,2	/files/ENCFF789AXP/@@download/ENCFF789AXP.bed.gz	eGFP-NR2C2	K562	has-mod-or-treatment	kevin-white	K562 genetically modified using stable transfection	eGFP-NR2C2 ChIP-seq on human K562	ENCBS168GXP,ENCBS250NTO	EFO:0002067	0	1	1	45262
/files/ENCFF059LJD/	/experiments/ENCSR006WUS/	1_1,2_1	1,2	/files/ENCFF059LJD/@@download/ENCFF059LJD.bed.gz	NEUROD1	MCF-7	no-mod-or-treatment	michael-snyder	MCF-7	NEUROD1 ChIP-seq on human MCF-7	ENCBS123ZGI,ENCBS609QTY	EFO:0001203	0	0	0	7889
/files/ENCFF944LNI/	/experiments/ENCSR543BVU/	1_1,2_1	1,2	/files/ENCFF944LNI/@@download/ENCFF944LNI.bed.gz	SOX6	HepG2	no-mod-or-treatment	michael-snyder	HepG2	SOX6 ChIP-seq on human HepG2	ENCBS157PJQ,ENCBS577XCP	EFO:0001187	0	0	0	2179
/files/ENCFF578NMN/	/experiments/ENCSR427BBI/	1_1,2_1	1,2	/files/ENCFF578NMN/@@download/ENCFF578NMN.bed.gz	MLLT1	MCF-7	no-mod-or-treatment	michael-snyder	MCF-7	MLLT1 ChIP-seq on human MCF-7	ENCBS308QKF,ENCBS957OEW	EFO:0001203	0	0	0	4344
/files/ENCFF740OPF/	/experiments/ENCSR524BUE/	1_1,2_1	1,2	/files/ENCFF740OPF/@@download/ENCFF740OPF.bed.gz	RAD51	K562	no-mod-or-treatment	michael-snyder	K562	RAD51 ChIP-seq on human K562	ENCBS994WPS,ENCBS839CNN	EFO:0002067	0	0	0	18093
/files/ENCFF256CVB/	/experiments/ENCSR975SSR/	1_1,2_1	1,2	/files/ENCFF256CVB/@@download/ENCFF256CVB.bed.gz	eGFP-ELF1	K562	has-mod-or-treatment	kevin-white	K562 genetically modified using stable transfection	eGFP-ELF1 ChIP-seq on human K562	ENCBS872CIK,ENCBS861JYZ	EFO:0002067	0	1	1	20358
/files/ENCFF367TQC/	/experiments/ENCSR267DFA/	1_1,2_1	1,2	/files/ENCFF367TQC/@@download/ENCFF367TQC.bed.gz	FOXA1	HepG2	no-mod-or-treatment	michael-snyder	HepG2	FOXA1 ChIP-seq on human HepG2	ENCBS767MPH,ENCBS803ZJJ	EFO:0001187	0	0	0	9048
/files/ENCFF800CDQ/	/experiments/ENCSR912NMR/	1_1,2_1	1,2	/files/ENCFF800CDQ/@@download/ENCFF800CDQ.bed.gz	NONO	MCF-7	no-mod-or-treatment	michael-snyder	MCF-7	NONO ChIP-seq on human MCF-7	ENCBS547AXB,ENCBS200IWR	EFO:0001203	0	0	0	4002
/files/ENCFF161SFU/	/experiments/ENCSR200CUA/	1_1,2_1	1,2	/files/ENCFF161SFU/@@download/ENCFF161SFU.bed.gz	HDGF	MCF-7	no-mod-or-treatment	michael-snyder	MCF-7	HDGF ChIP-seq on human MCF-7	ENCBS308QKF,ENCBS957OEW	EFO:0001203	0	0	0	4107
/files/ENCFF882RPA/	/experiments/ENCSR170DNV/	1_1,2_1	1,2	/files/ENCFF882RPA/@@download/ENCFF882RPA.bed.gz	PHB2	HepG2	no-mod-or-treatment	michael-snyder	HepG2	PHB2 ChIP-seq on human HepG2	ENCBS157PJQ,ENCBS787RAZ	EFO:0001187	0	0	0	1864
