2019-06-23 00:57:39.563411	https://www.encodeproject.org/report/?type=File&lab.title=ENCODE+Processing+Pipeline&status=released&assembly=GRCh38&field=%40id&field=accession&field=dataset&field=assembly&field=output_type&field=technical_replicates&field=biological_replicates&field=href&file_format=bed&output_type%21=peaks&output_type%21=conservative+idr+thresholded+peaks&output_type%21=replicated+peaks&output_type%21=sequence+alignability&output_type%21=methylation+state+at+CpG&output_type%21=methylation+state+at+CHH&output_type%21=methylation+state+at+CHG&output_type%21=enrichment&output_type%21=hotspots&output_type%21=pseudoreplicated+idr+thresholded+peaks&output_type%21=stable+peaks&output_type%21=transcription+start+sites&limit=all
ID	Accession	Dataset	Genome assembly	Output type	Technical replicates	Biological replicates	Download URL
/files/ENCFF002ZPW/	ENCFF002ZPW	/experiments/ENCSR000DRR/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF002ZPW/@@download/ENCFF002ZPW.bed.gz
/files/ENCFF002ZRH/	ENCFF002ZRH	/experiments/ENCSR807BGP/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF002ZRH/@@download/ENCFF002ZRH.bed.gz
/files/ENCFF003OCH/	ENCFF003OCH	/experiments/ENCSR000BOV/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF003OCH/@@download/ENCFF003OCH.bed.gz
/files/ENCFF003VDB/	ENCFF003VDB	/experiments/ENCSR778UBR/	GRCh38	optimal idr thresholded peaks	5_1,6_1	5,6	/files/ENCFF003VDB/@@download/ENCFF003VDB.bed.gz
/files/ENCFF003ZGQ/	ENCFF003ZGQ	/experiments/ENCSR185FOY/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF003ZGQ/@@download/ENCFF003ZGQ.bed.gz
/files/ENCFF004CAC/	ENCFF004CAC	/experiments/ENCSR948VFL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004CAC/@@download/ENCFF004CAC.bed.gz
/files/ENCFF004ECM/	ENCFF004ECM	/experiments/ENCSR430JGJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004ECM/@@download/ENCFF004ECM.bed.gz
/files/ENCFF004JFD/	ENCFF004JFD	/experiments/ENCSR103GAK/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF004JFD/@@download/ENCFF004JFD.bed.gz
/files/ENCFF004JYI/	ENCFF004JYI	/experiments/ENCSR563FBT/	GRCh38	peaks and background as input for IDR	2_1,3_1	2,3	/files/ENCFF004JYI/@@download/ENCFF004JYI.bed.gz
/files/ENCFF004WGM/	ENCFF004WGM	/experiments/ENCSR261EDU/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004WGM/@@download/ENCFF004WGM.bed.gz
