ID	Accession	Dataset	Genome assembly	Output type	Technical replicates	Biological replicates	Download URL	linecount
/files/ENCFF002ZPW/	ENCFF002ZPW	/experiments/ENCSR000DRR/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF002ZPW/@@download/ENCFF002ZPW.bed.gz	300000
/files/ENCFF002ZRH/	ENCFF002ZRH	/experiments/ENCSR807BGP/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF002ZRH/@@download/ENCFF002ZRH.bed.gz	300000
/files/ENCFF003OCH/	ENCFF003OCH	/experiments/ENCSR000BOV/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF003OCH/@@download/ENCFF003OCH.bed.gz	26932
/files/ENCFF003VDB/	ENCFF003VDB	/experiments/ENCSR778UBR/	GRCh38	optimal idr thresholded peaks	5_1,6_1	5,6	/files/ENCFF003VDB/@@download/ENCFF003VDB.bed.gz	22623
/files/ENCFF003ZGQ/	ENCFF003ZGQ	/experiments/ENCSR185FOY/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF003ZGQ/@@download/ENCFF003ZGQ.bed.gz	300000
/files/ENCFF004CAC/	ENCFF004CAC	/experiments/ENCSR948VFL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004CAC/@@download/ENCFF004CAC.bed.gz	300000
/files/ENCFF004ECM/	ENCFF004ECM	/experiments/ENCSR430JGJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004ECM/@@download/ENCFF004ECM.bed.gz	300000
/files/ENCFF004JFD/	ENCFF004JFD	/experiments/ENCSR103GAK/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF004JFD/@@download/ENCFF004JFD.bed.gz	993
/files/ENCFF004JYI/	ENCFF004JYI	/experiments/ENCSR563FBT/	GRCh38	peaks and background as input for IDR	2_1,3_1	2,3	/files/ENCFF004JYI/@@download/ENCFF004JYI.bed.gz	300000
/files/ENCFF004WGM/	ENCFF004WGM	/experiments/ENCSR261EDU/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004WGM/@@download/ENCFF004WGM.bed.gz	300000
/files/ENCFF005JKU/	ENCFF005JKU	/experiments/ENCSR000DZS/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF005JKU/@@download/ENCFF005JKU.bed.gz	1903
/files/ENCFF005VFG/	ENCFF005VFG	/experiments/ENCSR000BQZ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF005VFG/@@download/ENCFF005VFG.bed.gz	300000
